TANQUE,PRODUCTO,h,DIAM.,CONO,h M.,T °C,LIT/CMS,KG/CMS,DENS.,KG.,% AGUA/OTRO,FECHA
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,175,60,69.7466616,63.469462056,0.91,18211.857761847998,,2020-05-20
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-05-20
CRISTA 1,PALMA RBD,671,292,2200,170,50,66.9663456,60.0688120032,0.897,32294.4748136032,,2020-05-20
CRISTA 2,PALMA RBD,671,292,2200,28,50,66.9663456,60.0688120032,0.897,40824.2461180576,,2020-05-20
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,152,50,145.22046,130.698414,0.9,500,,2020-05-20
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,VACIO,50,20.106240000000003,17.894553600000002,0.89,,,2020-05-20
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,235,50,118.8475134,106.96276206,0.9,15616.56326076,,2020-05-20
TK150 ,OLEINA DESPACHO ,915,490,1500,314,,188.57454,167.8313406,0.89,102366.6357006,,2020-05-20
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-20
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-20
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-05-20
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-05-20
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-20
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-20
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,357,55,114.0094494,102.60850445999999,0.9,26209.951628379997,,2020-05-21
TK2,INTERESTERIFICADO ,610,381,250,492,55,114.0094494,102.60850445999999,0.9,12357.803526279999,,2020-05-21
TK3,PALMISTE RBD,610,381,250,185,55,114.0094494,98.048126484,0.86,41920.4537557,,2020-05-21
TK4,GRASA DURA ,610,381,250,347,55,114.0094494,102.60850445999999,0.9,27236.036672979997,,2020-05-21
TK5,PALMA RBD,610,381,250,260,55,114.0094494,102.60850445999999,0.9,36162.976560999996,,2020-05-21
TK 800,PALMA RBD,1224,968,5000,410,,735.9386496,662.34478464,0.9,544148.65469696,,2020-05-21
TK 500,PALMA RBD,733,960,3500,357,20,723.82464,651.442176,0.9,248442.258176,,2020-05-21
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,410,50,114.0094494,102.31633039185253,0.8974372820000001,20713.266078370507,,2020-05-21
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,194,100,69.7466616,63.469462056,0.91,17005.937982784,,2020-05-21
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,120,60,69.7466616,63.469462056,0.91,21702.678174927998,,2020-05-21
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-05-21
CRISTA 1,PALMA RBD,671,292,2200,66,50,66.9663456,60.0688120032,0.897,38541.631261936,,2020-05-21
CRISTA 2,PALMA RBD,671,292,2200,19,50,66.9663456,60.0688120032,0.897,41364.8654260864,,2020-05-21
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,152,50,145.22046,130.698414,0.9,500,,2020-05-21
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,200,50,20.106240000000003,17.894553600000002,0.89,2061.0335744000004,,2020-05-21
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,155,50,118.8475134,106.96276206,0.9,24173.58422556,,2020-05-21
TK150 ,OLEINA DESPACHO ,915,490,1500,268,,188.57454,167.8313406,0.89,110086.8773682,,2020-05-21
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-21
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-21
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-05-21
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-05-21
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-21
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-21
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,474,55,114.0094494,102.60850445999999,0.9,14204.756606559999,,2020-05-23
TK2,INTERESTERIFICADO ,610,381,250,526,55,114.0094494,102.60850445999999,0.9,8869.11437464,,2020-05-23
TK3,PALMISTE RBD,610,381,250,190,55,114.0094494,98.048126484,0.86,41430.213123279995,,2020-05-23
TK4,GRASA DURA ,610,381,250,344,55,114.0094494,102.60850445999999,0.9,27543.86218636,,2020-05-23
TK5,PALMA RBD,610,381,250,292,55,114.0094494,102.60850445999999,0.9,32879.50441828,,2020-05-23
TK 800,PALMA RBD,1224,968,5000,359,,735.9386496,662.34478464,0.9,577928.2387136,,2020-05-23
TK 500,PALMA RBD,733,960,3500,408,20,723.82464,651.442176,0.9,215218.7072,,2020-05-23
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,309,50,114.0094494,102.31633039185253,0.8974372820000001,31047.215447947612,,2020-05-23
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,94,100,69.7466616,63.469462056,0.91,23352.884188384,,2020-05-23
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,120,60,69.7466616,63.469462056,0.91,21702.678174927998,,2020-05-23
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-05-23
CRISTA 1,PALMA RBD,671,292,2200,166,50,66.9663456,60.0688120032,0.897,32534.750061616,,2020-05-23
CRISTA 2,PALMA RBD,671,292,2200,17,50,66.9663456,60.0688120032,0.897,41485.003050092804,,2020-05-23
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,152,50,145.22046,130.698414,0.9,500,,2020-05-23
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,200,50,20.106240000000003,17.894553600000002,0.89,2061.0335744000004,,2020-05-23
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,145,50,118.8475134,106.96276206,0.9,25243.21184616,,2020-05-23
TK150 ,OLEINA DESPACHO ,915,490,1500,447,,188.57454,167.8313406,0.89,80045.0674008,,2020-05-23
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-23
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-23
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-05-23
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-05-23
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-23
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-23
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,118,55,114.0094494,102.60850445999999,0.9,50733.384194319995,,2020-05-26
TK2,INTERESTERIFICADO ,610,381,250,540,55,114.0094494,102.60850445999999,0.9,7432.595312199999,,2020-05-26
TK3,PALMISTE RBD,610,381,250,217,55,114.0094494,98.048126484,0.86,38782.913708212,,2020-05-26
TK4,GRASA DURA ,610,381,250,345,55,114.0094494,102.60850445999999,0.9,27441.253681899998,,2020-05-26
TK5,PALMA RBD,610,381,250,250,55,114.0094494,102.60850445999999,0.9,37189.0616056,,2020-05-26
TK 800,PALMA RBD,1224,968,5000,510,,735.9386496,662.34478464,0.9,477914.17623295996,,2020-05-26
TK 500,PALMA RBD,733,960,3500,439,20,723.82464,651.442176,0.9,195023.999744,,2020-05-26
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,558,50,114.0094494,102.31633039185253,0.8974372820000001,5570.449180376331,,2020-05-26
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,230,100,69.7466616,63.469462056,0.91,14721.037348767999,,2020-05-26
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,200,60,69.7466616,63.469462056,0.91,16625.121210448,,2020-05-26
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-05-26
CRISTA 1,PALMA RBD,671,292,2200,20,50,66.9663456,60.0688120032,0.897,41304.7966140832,,2020-05-26
CRISTA 2,PALMA RBD,671,292,2200,445,50,66.9663456,60.0688120032,0.897,15775.551512723201,,2020-05-26
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,117,50,145.22046,130.698414,0.9,5074.444490000001,,2020-05-26
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,200,50,20.106240000000003,17.894553600000002,0.89,2061.0335744000004,,2020-05-26
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,75,50,118.8475134,106.96276206,0.9,32730.605190360002,,2020-05-26
TK150 ,OLEINA DESPACHO ,915,490,1500,64,,188.57454,167.8313406,0.89,144324.47085060002,,2020-05-26
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-26
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-26
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-05-26
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-05-26
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-26
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-26
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,414,55,114.0094494,102.60850445999999,0.9,20361.26687416,,2020-05-27
TK2,INTERESTERIFICADO ,610,381,250,552,55,114.0094494,102.60850445999999,0.9,6201.29325868,,2020-05-27
TK3,PALMISTE RBD,610,381,250,220,55,114.0094494,98.048126484,0.86,38488.76932876,,2020-05-27
TK4,GRASA DURA ,610,381,250,347,55,114.0094494,102.60850445999999,0.9,27236.036672979997,,2020-05-27
TK5,PALMA RBD,610,381,250,430,55,114.0094494,102.60850445999999,0.9,18719.5308028,,2020-05-27
TK 800,PALMA RBD,1224,968,5000,446,,735.9386496,662.34478464,0.9,520304.24244992,,2020-05-27
TK 500,PALMA RBD,733,960,3500,436,20,723.82464,651.442176,0.9,196978.326272,,2020-05-27
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,510,50,114.0094494,102.31633039185253,0.8974372820000001,10481.633039185253,,2020-05-27
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,18,100,69.7466616,63.469462056,0.91,28176.56330464,,2020-05-27
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,190,60,69.7466616,63.469462056,0.91,17259.815831008,,2020-05-27
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-05-27
CRISTA 1,PALMA RBD,671,292,2200,20,50,66.9663456,60.0688120032,0.897,41304.7966140832,,2020-05-27
CRISTA 2,PALMA RBD,671,292,2200,51,50,66.9663456,60.0688120032,0.897,39442.663441984,,2020-05-27
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,80,50,145.22046,130.698414,0.9,9910.285808,,2020-05-27
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,200,50,20.106240000000003,17.894553600000002,0.89,2061.0335744000004,,2020-05-27
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,56,50,118.8475134,106.96276206,0.9,34762.8976695,,2020-05-27
TK150 ,OLEINA DESPACHO ,915,490,1500,80,,188.57454,167.8313406,0.89,141639.169401,,2020-05-27
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-27
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-27
CRISTA 1,,300,270,1200,46,60,57.25566,51.530094,0.9,14288.643876,,2020-05-27
CRISTA 2,,459,194,200,246,,29.56,26.604,0.9,5866.652,,2020-05-27
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-27
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-27
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,577,55,114.0094494,102.60850445999999,0.9,3636.0806471799997,,2020-05-28
TK2,INTERESTERIFICADO ,610,381,250,568,55,114.0094494,102.60850445999999,0.9,4559.55718732,,2020-05-28
TK3,PALMISTE RBD,610,381,250,230,55,114.0094494,98.048126484,0.86,37508.28806392,,2020-05-28
TK4,GRASA DURA ,610,381,250,345,55,114.0094494,102.60850445999999,0.9,27441.253681899998,,2020-05-28
TK5,PALMA RBD,610,381,250,290,55,114.0094494,102.60850445999999,0.9,33084.7214272,,2020-05-28
TK 800,PALMA RBD,1224,968,5000,400,,735.9386496,662.34478464,0.9,550772.10254336,,2020-05-28
TK 500,PALMA RBD,733,960,3500,538,20,723.82464,651.442176,0.9,130531.22432000001,,2020-05-28
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,457,50,114.0094494,102.31633039185253,0.8974372820000001,15904.398549953437,,2020-05-28
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,29,100,69.7466616,63.469462056,0.91,27478.399222024,,2020-05-28
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,138,60,69.7466616,63.469462056,0.91,20560.22785792,,2020-05-28
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-05-28
CRISTA 1,PALMA RBD,671,292,2200,509,50,66.9663456,60.0688120032,0.897,11931.1475445184,,2020-05-28
CRISTA 2,PALMA RBD,671,292,2200,29,50,66.9663456,60.0688120032,0.897,40764.1773060544,,2020-05-28
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,113,50,145.22046,130.698414,0.9,5597.238146000001,,2020-05-28
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,200,50,20.106240000000003,17.894553600000002,0.89,2061.0335744000004,,2020-05-28
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,40,50,118.8475134,106.96276206,0.9,36474.30186246,,2020-05-28
TK150 ,OLEINA DESPACHO ,915,490,1500,222,,188.57454,167.8313406,0.89,117807.1190358,,2020-05-28
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-28
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-28
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-05-28
CRISTA 2,,459,194,200,246,,29.56,26.604,0.9,5866.652,,2020-05-28
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-28
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-28
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,445,55,114.0094494,102.60850445999999,0.9,17180.403235899998,,2020-05-29
TK2,INTERESTERIFICADO ,610,381,250,577,55,114.0094494,102.60850445999999,0.9,3636.0806471799997,,2020-05-29
TK3,PALMISTE RBD,610,381,250,235,55,114.0094494,98.048126484,0.86,37018.047431499996,,2020-05-29
TK4,GRASA DURA ,610,381,250,344,55,114.0094494,102.60850445999999,0.9,27543.86218636,,2020-05-29
TK5,PALMA RBD,610,381,250,266,55,114.0094494,102.60850445999999,0.9,35547.32553424,,2020-05-29
TK 800,PALMA RBD,1224,968,5000,410,,735.9386496,662.34478464,0.9,544148.65469696,,2020-05-29
TK 500,PALMA RBD,733,960,3500,473,20,723.82464,651.442176,0.9,172874.96576,,2020-05-29
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,400,50,114.0094494,102.31633039185253,0.8974372820000001,21736.429382289032,,2020-05-29
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,32,100,69.7466616,63.469462056,0.91,27287.990835856,,2020-05-29
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,100,60,69.7466616,63.469462056,0.91,22972.067416047998,,2020-05-29
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-05-29
CRISTA 1,PALMA RBD,671,292,2200,36,50,66.9663456,60.0688120032,0.897,40343.695622032,,2020-05-29
CRISTA 2,PALMA RBD,671,292,2200,CARGANDO,50,66.9663456,60.0688120032,0.897,,,2020-05-29
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,77,50,145.22046,130.698414,0.9,10302.381050000002,,2020-05-29
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,304,50,20.106240000000003,17.894553600000002,0.89,200,,2020-05-29
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,58,50,118.8475134,106.96276206,0.9,34548.97214538,,2020-05-29
TK150 ,OLEINA DESPACHO ,915,490,1500,616,,188.57454,167.8313406,0.89,51681.5708394,,2020-05-29
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-29
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-29
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-05-29
CRISTA 2,,459,194,200,355,,29.56,26.604,0.9,2966.816,,2020-05-29
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-29
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-29
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,382,55,114.0094494,102.60850445999999,0.9,23644.739016879998,,2020-05-30
TK2,INTERESTERIFICADO ,610,381,250,578,55,114.0094494,102.60850445999999,0.9,3533.4721427199997,,2020-05-30
TK3,PALMISTE RBD,610,381,250,237,55,114.0094494,98.048126484,0.86,36821.951178532,,2020-05-30
TK4,GRASA DURA ,610,381,250,605,55,114.0094494,102.60850445999999,0.9,763.0425223,,2020-05-30
TK5,PALMA RBD,610,381,250,440,55,114.0094494,102.60850445999999,0.9,17693.4457582,,2020-05-30
TK 800,PALMA RBD,1224,968,5000,513,,735.9386496,662.34478464,0.9,475927.14187903993,,2020-05-30
TK 500,PALMA RBD,733,960,3500,336,20,723.82464,651.442176,0.9,262122.543872,,2020-05-30
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,358,50,114.0094494,102.31633039185253,0.8974372820000001,26033.715258746837,,2020-05-30
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,305,100,69.7466616,63.469462056,0.91,9960.827694567999,,2020-05-30
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,90,60,69.7466616,63.469462056,0.91,23606.762036608,,2020-05-30
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-05-30
CRISTA 1,PALMA RBD,671,292,2200,32,50,66.9663456,60.0688120032,0.897,40583.9708700448,,2020-05-30
CRISTA 2,PALMA RBD,671,292,2200,584,50,66.9663456,60.0688120032,0.897,7425.9866442784005,,2020-05-30
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,93,50,145.22046,130.698414,0.9,8211.206426,,2020-05-30
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,304,50,20.106240000000003,17.894553600000002,0.89,200,,2020-05-30
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,270,50,118.8475134,106.96276206,0.9,11872.866588660001,,2020-05-30
TK150 ,OLEINA DESPACHO ,915,490,1500,370,,188.57454,167.8313406,0.89,92968.080627,,2020-05-30
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-30
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-30
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-05-30
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-05-30
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-30
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-30
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,251,55,114.0094494,102.60850445999999,0.9,37086.453101139996,,2020-06-01
TK2,INTERESTERIFICADO ,610,381,250,575,55,114.0094494,102.60850445999999,0.9,3841.2976560999996,,2020-06-01
TK3,PALMISTE RBD,610,381,250,237,55,114.0094494,98.048126484,0.86,36821.951178532,,2020-06-01
TK4,GRASA DURA ,610,381,250,608,55,114.0094494,102.60850445999999,0.9,455.21700892,,2020-06-01
TK5,PALMA RBD,610,381,250,415,55,114.0094494,102.60850445999999,0.9,20258.6583697,,2020-06-01
TK 800,PALMA RBD,1224,968,5000,574,,735.9386496,662.34478464,0.9,435524.110016,,2020-06-01
TK 500,PALMA RBD,733,960,3500,336,20,723.82464,651.442176,0.9,262122.543872,,2020-06-01
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,316,50,114.0094494,102.31633039185253,0.8974372820000001,30331.001135204646,,2020-06-01
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,VACIO,100,69.7466616,63.469462056,0.91,,,2020-06-01
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,195,60,69.7466616,63.469462056,0.91,16942.468520727998,,2020-06-01
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-06-01
CRISTA 1,PALMA RBD,671,292,2200,20,50,66.9663456,60.0688120032,0.897,41304.7966140832,,2020-06-01
CRISTA 2,PALMA RBD,671,292,2200,641,50,66.9663456,60.0688120032,0.897,4002.064360096,,2020-06-01
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,132,50,145.22046,130.698414,0.9,3113.96828,,2020-06-01
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,304,50,20.106240000000003,17.894553600000002,0.89,200,,2020-06-01
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,228,50,118.8475134,106.96276206,0.9,16365.302595180001,,2020-06-01
TK150 ,OLEINA DESPACHO ,915,490,1500,506,,188.57454,167.8313406,0.89,70143.01830540001,,2020-06-01
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-06-01
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-06-01
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-06-01
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-06-01
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-06-01
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-06-01
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,251,55,114.0094494,102.60850445999999,0.9,37086.453101139996,,2020-06-01
TK2,INTERESTERIFICADO ,610,381,250,575,55,114.0094494,102.60850445999999,0.9,3841.2976560999996,,2020-06-01
TK3,PALMISTE RBD,610,381,250,237,55,114.0094494,98.048126484,0.86,36821.951178532,,2020-06-01
TK4,GRASA DURA ,610,381,250,608,55,114.0094494,102.60850445999999,0.9,455.21700892,,2020-06-01
TK5,PALMA RBD,610,381,250,415,55,114.0094494,102.60850445999999,0.9,20258.6583697,,2020-06-01
TK 800,PALMA RBD,1224,968,5000,269.5,,735.9386496,662.34478464,0.9,637208.0969388799,,2020-06-01
TK 500,PALMA RBD,733,960,3500,336,20,723.82464,651.442176,0.9,262122.543872,,2020-06-01
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,316,50,114.0094494,102.31633039185253,0.8974372820000001,30331.001135204646,,2020-06-01
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,VACIO,100,69.7466616,63.469462056,0.91,,,2020-06-01
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,VACIO,60,69.7466616,63.469462056,0.91,,,2020-06-01
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-06-01
CRISTA 1,PALMA RBD,671,292,2200,20,50,66.9663456,60.0688120032,0.897,41304.7966140832,,2020-06-01
CRISTA 2,PALMA RBD,671,292,2200,641,50,66.9663456,60.0688120032,0.897,4002.064360096,,2020-06-01
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,132,50,145.22046,130.698414,0.9,3113.96828,,2020-06-01
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,304,50,20.106240000000003,17.894553600000002,0.89,200,,2020-06-01
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,228,50,118.8475134,106.96276206,0.9,16365.302595180001,,2020-06-01
TK150 ,OLEINA DESPACHO ,915,490,1500,506,,188.57454,167.8313406,0.89,70143.01830540001,,2020-06-01
TK EMPAQUE  ,OLEINA ,306,249,200,149.6,70,48.6955854,43.339071006,0.89,6978.2307053384,,2020-06-01
OLEINA ENVASADA,OLEINA ENVASADA,,,,,,,0,,24686,,2020-06-01
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-06-01
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-06-01
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-06-01
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-06-01
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,530,55,114.0094494,102.60850445999999,0.9,8458.6803568,,2020-06-02
TK2,INTERESTERIFICADO ,610,381,250,575,55,114.0094494,102.60850445999999,0.9,3841.2976560999996,,2020-06-02
TK3,PALMISTE RBD,610,381,250,234,55,114.0094494,98.048126484,0.86,37116.095557984,,2020-06-02
TK4,GRASA DURA ,610,381,250,607,55,114.0094494,102.60850445999999,0.9,557.82551338,,2020-06-02
TK5,PALMA RBD,610,381,250,340,55,114.0094494,102.60850445999999,0.9,27954.296204199996,,2020-06-02
TK 800,PALMA RBD,1224,968,5000,652,,735.9386496,662.34478464,0.9,383861.21681407996,,2020-06-02
TK 500,PALMA RBD,733,960,3500,367,20,723.82464,651.442176,0.9,241927.836416,,2020-06-02
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,316,50,114.0094494,102.31633039185253,0.8974372820000001,30331.001135204646,,2020-06-02
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,18,100,69.7466616,63.469462056,0.91,28176.56330464,,2020-06-02
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,260,60,69.7466616,63.469462056,0.91,12816.953487088,,2020-06-02
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-06-02
CRISTA 1,PALMA RBD,671,292,2200,34,50,66.9663456,60.0688120032,0.897,40463.833246038404,,2020-06-02
CRISTA 2,PALMA RBD,671,292,2200,18,50,66.9663456,60.0688120032,0.897,41424.9342380896,,2020-06-02
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,92,50,145.22046,130.698414,0.9,8341.904840000001,,2020-06-02
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,304,50,20.106240000000003,17.894553600000002,0.89,200,,2020-06-02
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,285,50,118.8475134,106.96276206,0.9,10268.42515776,,2020-06-02
TK150 ,OLEINA DESPACHO ,915,490,1500,328,,188.57454,167.8313406,0.89,100016.9969322,,2020-06-02
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-06-02
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-06-02
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-06-02
